product_id,category,product_name,location_id,year,month,original_value,original_unit,original_currency,price_mad,price_usd,price_real_mad,confidence,precision,collection_method,source_id
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2014,,98.7500,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2014,,281.9000,USD/tonne,USD,2.3708,0.2819,2.4656,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2015,,85.4200,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2015,,2050.0000,MAD/tonne,MAD,2.0500,0.2103,2.0992,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2015,,209.9000,USD/tonne,USD,2.0465,0.2099,2.0957,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2016,,283.5000,USD/tonne,USD,2.7726,0.2835,2.7936,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2016,,115.8300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2016,,2780.0000,MAD/tonne,MAD,2.7800,0.2843,2.8010,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2017,,2190.0000,MAD/tonne,MAD,2.1900,0.2260,2.1900,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2017,,91.2500,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2017,,226.0000,USD/tonne,USD,2.1899,0.2260,2.1899,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2018,,78.9600,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2018,,1895.0000,MAD/tonne,MAD,1.8950,0.2018,1.8614,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2018,,201.9000,USD/tonne,USD,1.8958,0.2019,1.8622,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2019,,207.4000,USD/tonne,USD,1.9952,0.2074,1.9539,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2019,,1995.0000,MAD/tonne,MAD,1.9950,0.2074,1.9537,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2019,,83.1300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2020,,2350.0000,MAD/tonne,MAD,2.3500,0.2474,2.2852,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2020,,97.9200,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2020,,247.5000,USD/tonne,USD,2.3513,0.2475,2.2865,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2021,,108.3300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2021,,289.3000,USD/tonne,USD,2.6008,0.2893,2.4942,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2021,,2600.0000,MAD/tonne,MAD,2.6000,0.2892,2.4934,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2022,,3770.0000,MAD/tonne,MAD,3.7700,0.3711,3.3898,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2022,,371.0000,USD/tonne,USD,3.7694,0.3710,3.3892,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2022,,157.0800,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2023,,144.3800,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2023,,3465.0000,MAD/tonne,MAD,3.4650,0.3421,2.9367,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2023,,342.0000,USD/tonne,USD,3.4645,0.3420,2.9362,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2024,,4540.0000,MAD/tonne,MAD,4.5400,0.4563,3.8102,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2024,,189.1700,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2024,,456.6000,USD/tonne,USD,4.5432,0.4566,3.8129,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2025,,202.8300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1991,,132.6300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1991,,3800.0000,MAD/tonne,MAD,3.8000,0.4363,6.7263,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1991,,436.5000,USD/tonne,USD,3.8019,0.4365,6.7297,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1992,,132.6300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1992,,445.1000,USD/tonne,USD,3.8012,0.4451,6.3631,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1992,,3800.0000,MAD/tonne,MAD,3.8000,0.4450,6.3612,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1993,,3800.0000,MAD/tonne,MAD,3.8000,0.4086,6.0477,official,exact,file_download,FAOSTAT
